content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1,1,2022-12-30 08:37:23,Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1,karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang,"['karena', 'ngga', 'bisa', 'di', 'download', 'padahal', 'memo', 'ngga', 'penuh', 'terus', 'jaringan', 'masih', 'bagus', 'dan', 'stabil', 'udah', 'selesai', 'download', 'kok', 'ada', 'bacaan', 'kirimkan', 'pesan', 'ada', 'permasalahan', 'gitu', 'jadi', 'aku', 'kasih', 'bintang']",30,"['ngga', 'download', 'memo', 'ngga', 'penuh', 'jaringan', 'stabil', 'selesai', 'download', 'bacaan', 'kirimkan', 'pesan', 'permasalahan', 'gitu', 'kasih', 'bintang']",16,"['ngga', 'download', 'memo', 'ngga', 'penuh', 'jaring', 'stabil', 'selesai', 'download', 'baca', 'kirim', 'pesan', 'masalah', 'gitu', 'kasih', 'bintang']",ngga download memo ngga penuh jaring stabil selesai download baca kirim pesan masalah gitu kasih bintang,-9,1,Negatif
"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!",1,2022-12-30 03:31:21,"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!",gk bisa nonton stand by me doraemon mengecewakan,"['gk', 'bisa', 'nonton', 'stand', 'by', 'me', 'doraemon', 'mengecewakan']",8,"['gk', 'nonton', 'stand', 'by', 'me', 'doraemon', 'mengecewakan']",7,"['gk', 'nonton', 'stand', 'by', 'me', 'doraemon', 'kecewa']",gk nonton stand by me doraemon kecewa,0,3,Netral
Film Marvel nya lambat update,3,2022-12-30 02:18:42,Film Marvel nya lambat update,film marvel nya lambat update,"['film', 'marvel', 'nya', 'lambat', 'update']",5,"['film', 'marvel', 'lambat', 'update']",4,"['film', 'marvel', 'lambat', 'update']",film marvel lambat update,1,3,Netral
kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,3,2022-12-29 15:48:00,kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,"['kualitas', 'videnya', 'sudah', 'saya', 'setel', 'ke', 'yang', 'paling', 'tinggi', 'tapi', 'masih', 'buruk', 'kualitasnya']",13,"['kualitas', 'videnya', 'setel', 'buruk', 'kualitasnya']",5,"['kualitas', 'vide', 'setel', 'buruk', 'kualitas']",kualitas vide setel buruk kualitas,3,4,Positif
"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤",1,2022-12-29 15:24:14,"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤",sudah berlangganan via telkomsel tapi masih minta berlangganan terus blm bisa dibuka 😩😤,"['sudah', 'berlangganan', 'via', 'telkomsel', 'tapi', 'masih', 'minta', 'berlangganan', 'terus', 'blm', 'bisa', 'dibuka', '😩😤']",13,"['berlangganan', 'via', 'telkomsel', 'berlangganan', 'blm', 'dibuka', '😩😤']",7,"['langgan', 'via', 'telkomsel', 'langgan', 'blm', 'buka', '']",langgan via telkomsel langgan blm buka ,1,3,Netral
"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?",1,2022-12-29 14:58:26,"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?",saya sudah beli paket disney hostar di my telkomsel tetapi pas login akun nya belum berlangganan gmana nih apakah sudah tidak bekerja sama lagi,"['saya', 'sudah', 'beli', 'paket', 'disney', 'hostar', 'di', 'my', 'telkomsel', 'tetapi', 'pas', 'login', 'akun', 'nya', 'belum', 'berlangganan', 'gmana', 'nih', 'apakah', 'sudah', 'tidak', 'bekerja', 'sama', 'lagi']",24,"['beli', 'paket', 'hostar', 'my', 'telkomsel', 'login', 'akun', 'berlangganan', 'gmana', 'nih']",10,"['beli', 'paket', 'hostar', 'my', 'telkomsel', 'login', 'akun', 'langgan', 'gmana', 'nih']",beli paket hostar my telkomsel login akun langgan gmana nih,3,4,Positif
"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥",5,2022-12-29 13:56:06,"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥",semoga ditahun depan disney hoststar semakin bagus tidak ada kenaikan tarif seperti k bulan sangat tidak di sarankan semoga lebih sukses lagi kedepannya 🔥,"['semoga', 'ditahun', 'depan', 'disney', 'hoststar', 'semakin', 'bagus', 'tidak', 'ada', 'kenaikan', 'tarif', 'seperti', 'k', 'bulan', 'sangat', 'tidak', 'di', 'sarankan', 'semoga', 'lebih', 'sukses', 'lagi', 'kedepannya', '🔥']",24,"['semoga', 'ditahun', 'hoststar', 'kenaikan', 'tarif', 'k', 'sarankan', 'semoga', 'sukses', 'kedepannya', '🔥']",11,"['moga', 'tahun', 'hoststar', 'naik', 'tarif', 'k', 'saran', 'moga', 'sukses', 'depan', '']",moga tahun hoststar naik tarif k saran moga sukses depan ,3,4,Positif
Bagus...,5,2022-12-29 13:28:31,Bagus...,bagus,['bagus'],1,[],0,[],,0,3,Netral
"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga",1,2022-12-29 13:25:58,"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga",aplikasi kocak ga bakal langganan di sini lagi udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga gada respon sama sekali udah beberapa kali ngalamin ini buat yang lain lebih baik gausah langganan di sini banyak bug juga,"['aplikasi', 'kocak', 'ga', 'bakal', 'langganan', 'di', 'sini', 'lagi', 'udah', 'bayar', 'langganan', 'tapi', 'ga', 'di', 'aktifkan', 'padahal', 'udah', 'komplain', 'ke', 'email', 'nya', 'juga', 'gada', 'respon', 'sama', 'sekali', 'udah', 'beberapa', 'kali', 'ngalamin', 'ini', 'buat', 'yang', 'lain', 'lebih', 'baik', 'gausah', 'langganan', 'di', 'sini', 'banyak', 'bug', 'juga']",43,"['kocak', 'langganan', 'bayar', 'langganan', 'aktifkan', 'komplain', 'email', 'gada', 'respon', 'kali', 'ngalamin', 'gausah', 'langganan', 'bug']",14,"['kocak', 'langgan', 'bayar', 'langgan', 'aktif', 'komplain', 'email', 'gada', 'respon', 'kali', 'ngalamin', 'gausah', 'langgan', 'bug']",kocak langgan bayar langgan aktif komplain email gada respon kali ngalamin gausah langgan bug,-4,1,Negatif
"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!",1,2022-12-29 12:54:05,"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!",saya sudah bayar langganan tp tidak bisa diaktivasi sudah email cs tp tidak ada respon padahal sudah bayar sampai kali ganti apk sangat mengecewakan,"['saya', 'sudah', 'bayar', 'langganan', 'tp', 'tidak', 'bisa', 'diaktivasi', 'sudah', 'email', 'cs', 'tp', 'tidak', 'ada', 'respon', 'padahal', 'sudah', 'bayar', 'sampai', 'kali', 'ganti', 'apk', 'sangat', 'mengecewakan']",24,"['bayar', 'langganan', 'tp', 'diaktivasi', 'email', 'cs', 'tp', 'respon', 'bayar', 'kali', 'ganti', 'apk', 'mengecewakan']",13,"['bayar', 'langgan', 'tp', 'diaktivasi', 'email', 'cs', 'tp', 'respon', 'bayar', 'kali', 'ganti', 'apk', 'kecewa']",bayar langgan tp diaktivasi email cs tp respon bayar kali ganti apk kecewa,-5,1,Negatif
"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks.",5,2022-12-29 11:46:23,"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks.",maaf ini masalah hp saya ato gimana setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya mohon segera di fiks,"['maaf', 'ini', 'masalah', 'hp', 'saya', 'ato', 'gimana', 'setiap', 'mau', 'nonton', 'yg', 'muncul', 'cuma', 'black', 'screen', 'ama', 'subtitle', 'gak', 'ada', 'visualnya', 'mohon', 'segera', 'di', 'fiks']",24,"['maaf', 'hp', 'ato', 'gimana', 'nonton', 'muncul', 'black', 'screen', 'ama', 'subtitle', 'visualnya', 'mohon', 'fiks']",13,"['maaf', 'hp', 'ato', 'gimana', 'nonton', 'muncul', 'black', 'screen', 'ama', 'subtitle', 'visual', 'mohon', 'fiks']",maaf hp ato gimana nonton muncul black screen ama subtitle visual mohon fiks,-8,1,Negatif
yoks mantab yah jadi gitu deh dah,4,2022-12-29 10:50:28,yoks mantab yah jadi gitu deh dah,yoks mantab yah jadi gitu deh dah,"['yoks', 'mantab', 'yah', 'jadi', 'gitu', 'deh', 'dah']",7,"['yoks', 'mantab', 'yah', 'gitu', 'deh', 'dah']",6,"['yoks', 'mantab', 'yah', 'gitu', 'deh', 'dah']",yoks mantab yah gitu deh dah,-3,2,Negatif
"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh",1,2022-12-29 07:58:14,"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh",beli paket disney melalui mytelkomsel hari blm aktif pulsa sdh di debetkomplen sana sini ga ada tanggapancapeeeee deeeeh,"['beli', 'paket', 'disney', 'melalui', 'mytelkomsel', 'hari', 'blm', 'aktif', 'pulsa', 'sdh', 'di', 'debetkomplen', 'sana', 'sini', 'ga', 'ada', 'tanggapancapeeeee', 'deeeeh']",18,"['beli', 'paket', 'mytelkomsel', 'blm', 'aktif', 'pulsa', 'sdh', 'debetkomplen', 'tanggapancapeeeee', 'deeeeh']",10,"['beli', 'paket', 'mytelkomsel', 'blm', 'aktif', 'pulsa', 'sdh', 'debetkomplen', 'tanggapancapeeeee', 'deeeeh']",beli paket mytelkomsel blm aktif pulsa sdh debetkomplen tanggapancapeeeee deeeeh,-5,1,Negatif
Good,5,2022-12-29 05:53:43,Bagus,bagus,['bagus'],1,[],0,[],,0,3,Netral
"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet",1,2022-12-29 03:46:24,"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet",kenapa disney di tv gak bisa dan tidak connect pake wifi juga sedangkan pake data bisa dan d buka di hp please dulu bisa di putar di tv dan pake wifi jika saya pake data boros yang ada ribet banget dulu mudah dan enak kenapa sekarang makin ribet,"['kenapa', 'disney', 'di', 'tv', 'gak', 'bisa', 'dan', 'tidak', 'connect', 'pake', 'wifi', 'juga', 'sedangkan', 'pake', 'data', 'bisa', 'dan', 'd', 'buka', 'di', 'hp', 'please', 'dulu', 'bisa', 'di', 'putar', 'di', 'tv', 'dan', 'pake', 'wifi', 'jika', 'saya', 'pake', 'data', 'boros', 'yang', 'ada', 'ribet', 'banget', 'dulu', 'mudah', 'dan', 'enak', 'kenapa', 'sekarang', 'makin', 'ribet']",48,"['tv', 'connect', 'pake', 'wifi', 'pake', 'data', 'd', 'buka', 'hp', 'please', 'putar', 'tv', 'pake', 'wifi', 'pake', 'data', 'boros', 'ribet', 'mudah', 'enak', 'ribet']",21,"['tv', 'connect', 'pake', 'wifi', 'pake', 'data', 'd', 'buka', 'hp', 'please', 'putar', 'tv', 'pake', 'wifi', 'pake', 'data', 'boros', 'ribet', 'mudah', 'enak', 'ribet']",tv connect pake wifi pake data d buka hp please putar tv pake wifi pake data boros ribet mudah enak ribet,-30,1,Negatif
"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar",1,2022-12-29 03:31:10,"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar",ini kenapa sih ga bisa dibuka tulisanya something went wrong please try again padahal wifi saya lancar,"['ini', 'kenapa', 'sih', 'ga', 'bisa', 'dibuka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'padahal', 'wifi', 'saya', 'lancar']",17,"['sih', 'dibuka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'wifi', 'lancar']",11,"['sih', 'buka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'wifi', 'lancar']",sih buka tulisanya something went wrong please try again wifi lancar,-8,1,Negatif
@ windi 2008 12,5,2022-12-28 22:53:38,@ windi 2008 12,windi,['windi'],1,['windi'],1,['windi'],windi,0,3,Netral
Overral udah bagus cuma kurang lengkap tv series nya,5,2022-12-28 13:23:46,Overral udah bagus cuma kurang lengkap tv series nya,overral udah bagus cuma kurang lengkap tv series nya,"['overral', 'udah', 'bagus', 'cuma', 'kurang', 'lengkap', 'tv', 'series', 'nya']",9,"['overral', 'lengkap', 'tv', 'series']",4,"['overral', 'lengkap', 'tv', 'series']",overral lengkap tv series,-3,2,Negatif
"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya",3,2022-12-28 11:06:51,"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya",kecewa sih bug yg meresahkan hp ane pas nonton film tiba tiba delay dan udh di close app hp ane ttp delay alhasil harus di restart hpnya,"['kecewa', 'sih', 'bug', 'yg', 'meresahkan', 'hp', 'ane', 'pas', 'nonton', 'film', 'tiba', 'tiba', 'delay', 'dan', 'udh', 'di', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'harus', 'di', 'restart', 'hpnya']",27,"['kecewa', 'sih', 'bug', 'meresahkan', 'hp', 'ane', 'nonton', 'film', 'delay', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'restart', 'hpnya']",18,"['kecewa', 'sih', 'bug', 'resah', 'hp', 'ane', 'nonton', 'film', 'delay', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'restart', 'hpnya']",kecewa sih bug resah hp ane nonton film delay close app hp ane ttp delay alhasil restart hpnya,-13,1,Negatif
Jelek banget harus membayar kalau mau download padahal bagus2 filmnya,1,2022-12-28 08:08:52,Jelek banget harus membayar kalau mau download padahal bagus2 filmnya,jelek banget harus membayar kalau mau download padahal bagus filmnya,"['jelek', 'banget', 'harus', 'membayar', 'kalau', 'mau', 'download', 'padahal', 'bagus', 'filmnya']",10,"['membayar', 'download', 'filmnya']",3,"['bayar', 'download', 'film']",bayar download film,-3,2,Negatif
Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,1,2022-12-28 07:41:13,Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,"['kenapa', 'sih', 'saya', 'tidak', 'bisa', 'download', 'aplikasi', 'ini', 'padahal', 'udah', 'beberapa', 'kali', 'coba', 'tapi', 'tidak', 'bisa', 'plis', 'kurangi', 'mbnya', 'saya', 'susah', 'untuk', 'mendownload', 'nya', 'plis', 'kecilkan', 'mb', 'nya', 'ya', 'sekali', 'lagi', 'saya', 'cuma', 'mau', 'kecilkan', 'mb', 'nya', 'ya']",38,"['sih', 'download', 'kali', 'coba', 'plis', 'kurangi', 'mbnya', 'susah', 'mendownload', 'plis', 'kecilkan', 'mb', 'kecilkan', 'mb']",14,"['sih', 'download', 'kali', 'coba', 'plis', 'kurang', 'mbnya', 'susah', 'mendownload', 'plis', 'kecil', 'mb', 'kecil', 'mb']",sih download kali coba plis kurang mbnya susah mendownload plis kecil mb kecil mb,-13,1,Negatif
Bagus,3,2022-12-28 07:20:13,Bagus,bagus,['bagus'],1,[],0,[],,0,3,Netral
Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...,4,2022-12-28 05:41:17,Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...,setelah update malah selalu keluar sendiri kalau mau play film tolong diperbaiki ya thanks,"['setelah', 'update', 'malah', 'selalu', 'keluar', 'sendiri', 'kalau', 'mau', 'play', 'film', 'tolong', 'diperbaiki', 'ya', 'thanks']",14,"['update', 'play', 'film', 'diperbaiki', 'thanks']",5,"['update', 'play', 'film', 'baik', 'thanks']",update play film baik thanks,2,4,Positif
"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret",4,2022-12-28 02:23:27,"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret",tolong la kak untuk topup nya di tambah lagi biar bisa di gunakan bagi penguna shopee pay atau pembayaran melalui indomaret,"['tolong', 'la', 'kak', 'untuk', 'topup', 'nya', 'di', 'tambah', 'lagi', 'biar', 'bisa', 'di', 'gunakan', 'bagi', 'penguna', 'shopee', 'pay', 'atau', 'pembayaran', 'melalui', 'indomaret']",21,"['la', 'kak', 'topup', 'biar', 'penguna', 'shopee', 'pay', 'pembayaran', 'indomaret']",9,"['la', 'kak', 'topup', 'biar', 'penguna', 'shopee', 'pay', 'bayar', 'indomaret']",la kak topup biar penguna shopee pay bayar indomaret,-6,1,Negatif
