content,score,at,translated_content
Bagus...,5,2022-12-29 13:28:31,Bagus...
"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga",1,2022-12-29 13:25:58,"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga"
"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!",1,2022-12-29 12:54:05,"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!"
"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks.",5,2022-12-29 11:46:23,"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks."
yoks mantab yah jadi gitu deh dah,4,2022-12-29 10:50:28,yoks mantab yah jadi gitu deh dah
"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh",1,2022-12-29 07:58:14,"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh"
Good,5,2022-12-29 05:53:43,Bagus
"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet",1,2022-12-29 03:46:24,"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet"
"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar",1,2022-12-29 03:31:10,"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar"
@ windi 2008 12,5,2022-12-28 22:53:38,@ windi 2008 12
Overral udah bagus cuma kurang lengkap tv series nya,5,2022-12-28 13:23:46,Overral udah bagus cuma kurang lengkap tv series nya
"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya",3,2022-12-28 11:06:51,"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya"
Jelek banget harus membayar kalau mau download padahal bagus2 filmnya,1,2022-12-28 08:08:52,Jelek banget harus membayar kalau mau download padahal bagus2 filmnya
Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,1,2022-12-28 07:41:13,Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya
Bagus,3,2022-12-28 07:20:13,Bagus
Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...,4,2022-12-28 05:41:17,Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...
"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret",4,2022-12-28 02:23:27,"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret"
"Awalnya sangat kesulitan untuk login di android tv dan cuma bisa via anycast,tapi setelah lihat tutorial di ytub akhirnya berhasil juga.Sangat memuaskan, paket langganan per tahun sangat murah di banding lainya, audio dan video juga baik sekali di tempat saya, HD dan dolby atmos. Saya sarankan channel WILD ANIMAL bisa bahasa indonesia akan sangat membantu ibu saya dalam menonton.... Dan satu lagi, pembayaran via gopay sangat membantu saya yg tidak punya credit card, apalagi kalau bisa via BRI.",5,2022-12-28 01:24:53,"Awalnya sangat kesulitan untuk login di android tv dan cuma bisa via anycast,tapi setelah lihat tutorial di ytub akhirnya berhasil juga.Sangat memuaskan, paket langganan per tahun sangat murah di banding lainya, audio dan video juga baik sekali di tempat saya, HD dan dolby atmos. Saya sarankan channel WILD ANIMAL bisa bahasa indonesia akan sangat membantu ibu saya dalam menonton.... Dan satu lagi, pembayaran via gopay sangat membantu saya yg tidak punya credit card, apalagi kalau bisa via BRI."
Lumayan buat nonton kalau lagi gk jualan bisa nonton dirmh sambil rebahan,5,2022-12-27 22:16:02,"Cocok untuk ditonton, kalau belum laku, bisa nonton di rumah sambil tiduran"
tambahkan opsi milih resolusi dong,3,2022-12-27 17:01:39,tambahkan opsi milih resolusi dong
Please help me to connect to my smart tv. When i log in to activate there only Otp directly to the web not asking me to input the 4 digit from my tv. Tolong bantu saya biar bisa nonton di tv. Tiap kali active kan di crime cuma nanya no hp saja lalu otp langsung masuk ke web nga ada kolom buat isi 4 digit di tv saya,1,2022-12-27 16:05:48,Please help me to connect to my smart tv. When i log in to activate there only Otp directly to the web not asking me to input the 4 digit from my tv. Tolong bantu saya biar bisa nonton di tv. Tiap kali active kan di crime cuma nanya no hp saja lalu otp langsung masuk ke web nga ada kolom buat isi 4 digit di tv saya
"Sudah berlangganan 1 tahun, tapi diminta berlangganan saat mau nonton.",1,2022-12-27 15:54:13,"Sudah berlangganan 1 tahun, tapi diminta berlangganan saat mau nonton."
"Aplikasinya bagus, Hanya saja terkadang ada beberapa bug seperti freeze, cuman tolong untuk kualitas videonya lebih di pertahankan hanya ada 3 opsi dan sekalipun pilih yang paling baik terkadang ada noise dan blur pada series/film, padahal jaringan lancar lancar saja, semoga lebih diperhatikan.",3,2022-12-27 14:56:14,"Aplikasinya bagus, Hanya saja terkadang ada beberapa bug seperti freeze, cuman tolong untuk kualitas videonya lebih di pertahankan hanya ada 3 opsi dan sekalipun pilih yang paling baik terkadang ada noise dan blur pada series/film, padahal jaringan lancar lancar saja, semoga lebih diperhatikan."
Good,5,2022-12-27 13:56:09,Bagus
"Saya sudah memilih paket berlangganan 1 tahun, tetapi ketika ingin menonton film saya diminta untuk berlangganan kembali. Ketika memilih paket 1 tahun tidak bisa karena anda sudah berlangganan.",2,2022-12-27 13:39:08,"Saya sudah memilih paket berlangganan 1 tahun, tetapi ketika ingin menonton film saya diminta untuk berlangganan kembali. Ketika memilih paket 1 tahun tidak bisa karena anda sudah berlangganan."
Ga bisa distel di tv android,1,2022-12-27 13:00:55,Ga bisa distel di tv android
"Udah pake wifi tapi malah lag, tolong perbaiki aplikasinya...",1,2022-12-27 12:37:02,"Udah pake wifi tapi malah lag, tolong perbaiki aplikasinya..."
"Bagus nih aplikasi,tapi kalo ada stranger think lebih mantap nih aplikasi",4,2022-12-27 12:32:24,"Bagus nih aplikasi,tapi kalo ada stranger think lebih mantap nih aplikasi"
Mantapppp,5,2022-12-27 09:58:52,Mantapppp
perbanyak lagi film² nya kaka 👍,5,2022-12-27 04:21:58,perbanyak lagi film² nya kaka 👍
Fiturnya keren tapi kenapa saya ga bisa nonton saluran saya yah?,5,2022-12-27 02:18:56,Fiturnya keren tapi kenapa saya ga bisa nonton saluran saya yah?
Tidak mendapat kode Verifikasi jd tidak bisa login,1,2022-12-26 16:08:40,Tidak mendapat kode Verifikasi jd tidak bisa login
Aplikasi error tidak bisa play movie sejak 2 hari ini,1,2022-12-26 15:01:52,Aplikasi error tidak bisa play movie sejak 2 hari ini
Tidak bisa login di tv,1,2022-12-26 13:46:21,Tidak bisa login di tv
ok,5,2022-12-26 12:47:30,Oke
Kok jadi lemot ya...padahal sdh didownload filmnya,1,2022-12-26 11:41:58,Kok jadi lemot ya...padahal sdh didownload filmnya
Baik apklikasinya,4,2022-12-26 04:41:49,Baik apklikasinya
Ga bisa log in,4,2022-12-26 03:18:22,Ga bisa log in
"kenapa kita harus membayar untuk menonton video? saya kecewa😠😠.apk gak guna,",1,2022-12-26 02:06:37,"kenapa kita harus membayar untuk menonton video? saya kecewa😠😠.apk gak guna,"
Awal download sih masih bagus tapi setelah 7 hari pemakaian masa jadi ada iklan kalau iklannya sedikit sih gapapa tapi ini iklannya kebangetan masa setiap 1 menit iklan kalau gitu mending gausah berlangganan Disney mending netflix,1,2022-12-26 00:49:47,Awal download sih masih bagus tapi setelah 7 hari pemakaian masa jadi ada iklan kalau iklannya sedikit sih gapapa tapi ini iklannya kebangetan masa setiap 1 menit iklan kalau gitu mending gausah berlangganan Disney mending netflix
Kok udah berlangganan melalui beli paket data di My Telkomsel tp tetep harus berlangganan lg? Sebelum2 g begini... Sedikit kecewa sih,2,2022-12-26 00:21:48,Kok udah berlangganan melalui beli paket data di My Telkomsel tp tetep harus berlangganan lg? Sebelum2 g begini... Sedikit kecewa sih
Resolusi udah paling tinggi tapi layarnya tetep ga HD,3,2022-12-25 20:18:46,Resolusi udah paling tinggi tapi layarnya tetep ga HD
Kok film amazing spederman ngak ada bahasa indonesia nya,1,2022-12-25 19:57:58,Kok film amazing spederman ngak ada bahasa indonesia nya
Yg mau jawab plis dong disini ada serial india anupama gk,1,2022-12-25 18:58:34,Yg mau jawab plis dong disini ada serial india anupama gk
Tolong ada kan pengaturan utk autoplay atau menonaktifkan autoplay nya,1,2022-12-25 15:34:37,Tolong ada kan pengaturan utk autoplay atau menonaktifkan autoplay nya
"Kenapa sering ngeblankng bisa d lihat ya,buat apa langganan tahunan klo g bisa",2,2022-12-25 13:35:54,"Kenapa sering ngeblankng bisa d lihat ya,buat apa langganan tahunan klo g bisa"
Flim nya tambahin lagi min saran saya 🤣,4,2022-12-25 11:46:39,Flim nya tambahin lagi min saran saya 🤣
"Sudah berlangganan tapi tidak bisa nonton film hanya layar hitam saja yang kelihatan tapi kalau nonton trailer lancar2 aja, itu maksudnya gimana ya, jadi merasa tertipu saya°^°",1,2022-12-25 11:24:27,"Sudah berlangganan tapi tidak bisa nonton film hanya layar hitam saja yang kelihatan tapi kalau nonton trailer lancar2 aja, itu maksudnya gimana ya, jadi merasa tertipu saya°^°"
Tolong tambahkan lagi koleksi ANIME pada aplikasi ini,5,2022-12-25 07:52:05,Tolong tambahkan lagi koleksi ANIME pada aplikasi ini
Sangat Bagus Aplikasi Disney+Hotstar,5,2022-12-25 07:40:56,Sangat Bagus Aplikasi Disney+Hotstar
Good aplikasi ❤️,5,2022-12-25 06:32:20,Good aplikasi ❤️
"Overall ya puas sih, banyak film&kartun lama yang ada disana, berharap supaya ada fitur supaya download bisa ke kartu SD, soalnya penyimpanan saya ga besar",4,2022-12-25 06:18:15,"Overall ya puas sih, banyak film&kartun lama yang ada disana, berharap supaya ada fitur supaya download bisa ke kartu SD, soalnya penyimpanan saya ga besar"
Aplikasinya jelek terus gak bisa di buat tonton kebanyakan iklan udah ngelek lagi 😔,1,2022-12-25 06:10:15,Aplikasinya jelek dan tidak bisa dibuat untuk menonton sebagian besar iklan
cinta banget sama disney🥰,5,2022-12-25 05:50:20,cinta banget sama disney🥰
Black screen.,1,2022-12-25 04:46:12,Layar hitam.
Nggak sesuai harapan,1,2022-12-25 02:59:38,Nggak sesuai harapan
Developer klo bisa tolong masukan film the doll ya 👍🏻👍🏻,5,2022-12-25 02:52:57,Developer klo bisa tolong masukan film the doll ya 👍🏻👍🏻
Udah beberapa kali mau minta kode sms gak masuk2 udh d coba berhari2 gak bisa. Kenapa ya? Emosi kadang,1,2022-12-25 02:33:23,Udah beberapa kali mau minta kode sms gak masuk2 udh d coba berhari2 gak bisa. Kenapa ya? Emosi kadang
"Disney ini memang Bagus, mudah, cepat, nga ribet. Nga kaya yg sebelah klo mau login aja nga bisa..",5,2022-12-24 23:42:01,"Disney ini memang Bagus, mudah, cepat, nga ribet. Nga kaya yg sebelah klo mau login aja nga bisa.."
Bagus,5,2022-12-24 18:09:58,Bagus
suka aja,5,2022-12-24 16:09:36,suka aja
"Update episode nya makin gak jelas , sorry 2 bintang",2,2022-12-24 15:49:56,"Update episode nya makin gak jelas , sorry 2 bintang"
"Kok Gak bisa ya pakek pulsa, padahal pulsa saya sudah cukup. Tapi selalu Gak bisa, katanya pulsanya ""gak cukup"" padahal lebih woy!",1,2022-12-24 15:01:24,"Kok Gak bisa ya pakek pulsa, padahal pulsa saya sudah cukup. Tapi selalu Gak bisa, katanya pulsanya ""gak cukup"" padahal lebih woy!"
"Ini gmn ya?aku Mau berlangganan ,dan pembayaran nya pake pulsa,aku ambil yg perbulan bayarnya 39rb nah pulsa aku tu ada 42rb pas mau bayar eh katanya pulsa tidak mencukupi padahal pulsa aku berlebih lho trs ini gmn solusinya? Tolong ya developernya diperbaiki dan secepatnya!!!ppls bgt nih",1,2022-12-24 12:44:17,"Ini gmn ya?aku Mau berlangganan ,dan pembayaran nya pake pulsa,aku ambil yg perbulan bayarnya 39rb nah pulsa aku tu ada 42rb pas mau bayar eh katanya pulsa tidak mencukupi padahal pulsa aku berlebih lho trs ini gmn solusinya? Tolong ya developernya diperbaiki dan secepatnya!!!ppls bgt nih"
Gak bisa download mulu padahal sudah langganan gmna sih kemarin² bagus tapi sekarang jadi gini nyesel langganan,1,2022-12-24 12:20:05,Gak bisa download mulu padahal sudah langganan gmna sih kemarin² bagus tapi sekarang jadi gini nyesel langganan
"Aplikasi nya sungguh bagus,tapi untuk harganya agak mahal bagi remaja yg belum kerja..",3,2022-12-24 10:47:32,"Aplikasi nya sungguh bagus,tapi untuk harganya agak mahal bagi remaja yg belum kerja.."
buffering teross,1,2022-12-24 07:25:54,buffering teross
Seru cuk,5,2022-12-24 03:58:45,Seru cuk
"Halo admin, sy ingin memberi saran untuk menambahkan kategori berdasarkan tahun. Soalnya sy pengen nonton film marvel tp sy gak tau harus mulai dari mana dulu. Saya berharap di update selanjutnya 🙏",5,2022-12-24 02:21:02,"Halo admin, sy ingin memberi saran untuk menambahkan kategori berdasarkan tahun. Soalnya sy pengen nonton film marvel tp sy gak tau harus mulai dari mana dulu. Saya berharap di update selanjutnya 🙏"
Apk idiot...ga bisa loding,1,2022-12-23 18:12:34,Apk bodoh... ayo
Ok,1,2022-12-23 16:58:51,Oke
Setelah update malah gak bs buka aplikasi,1,2022-12-23 14:48:11,Setelah update malah gak bs buka aplikasi
Masih bisa kah langganan nya pakai Telkomsel soalnya aku mau ganti kartu Telkomsel,5,2022-12-23 13:47:26,Masih bisa kah langganan nya pakai Telkomsel soalnya aku mau ganti kartu Telkomsel
Ada konten sjw,1,2022-12-23 11:27:28,Ada konten sjw
Belum nonton dh disuruh bayar,1,2022-12-23 08:28:11,Belum nonton dh disuruh bayar
Masukin film fast furious min,5,2022-12-23 03:18:25,Masukin film fast furious min
Kenapa akun saya jadi black screen padahal koneksinya bagus,1,2022-12-23 00:53:50,Kenapa akun saya jadi black screen padahal koneksinya bagus
Bgus,5,2022-12-22 17:45:58,Bgus
tambah filem india nyah dong audio indo husus nyah.,5,2022-12-22 14:28:04,tambahkan film India dong dong audio indo husus nyah.
Kapok.. Nhga bisa diputer .. Cm lancar seminggu doang.. Padahal muter trailer lancar banget... Yg sudah di download pun ttp loading.. Parah banget dag,1,2022-12-22 13:36:17,Kapok.. Nhga bisa diputer .. Cm lancar seminggu doang.. Padahal muter trailer lancar banget... Yg sudah di download pun ttp loading.. Parah banget dag
Kenapa saat mengirimkan kode verifikasi lewat pesan terdapat delay yang sangat lama Tolong diperbaiki lg bugnya,3,2022-12-22 13:29:45,Kenapa saat mengirimkan kode verifikasi lewat pesan terdapat delay yang sangat lama Tolong diperbaiki lg bugnya
"ditingkatin lagi ya,bugnya masih ada gtu tapi filmnya udah bagus2 kok👍",3,2022-12-22 13:19:51,"ditingkatin lagi ya,bugnya masih ada gtu tapi filmnya udah bagus2 kok👍"
"Sebelum update terbaru masih bisa nonton, tp setelah update terbaru kok disuruh berlanganan lagi..padahal saya sudah berlangganan bundling paket dari telkomsel",2,2022-12-22 13:11:32,"Sebelum update terbaru masih bisa nonton, tp setelah update terbaru kok disuruh berlanganan lagi..padahal saya sudah berlangganan bundling paket dari telkomsel"
Mau login gak bisa,2,2022-12-22 11:38:31,Mau login gak bisa
Ok,4,2022-12-22 11:28:47,Oke
Uninstal stlh tidak bisa lg pakai nonton streaming telkomsel,1,2022-12-22 11:17:58,Uninstal stlh tidak bisa lg pakai nonton streaming telkomsel
"Kenapa kalo film belum beres pas mau di tonton lagi malah gabisa di tonton, sangat kecewa dengan disney+ Hotstar, aplikasi sislan",1,2022-12-22 10:09:37,"Kenapa kalo film belum beres pas mau di tonton lagi malah gabisa di tonton, sangat kecewa dengan disney+ Hotstar, aplikasi sislan"
"Untuk Disney, Mengapa aplikasi eror dan bahkan tidak ada solusi Saya begitu mengandalkan disney untuk setiap tontonan menarik, aplikasi mudah dipahami dan biaya berlangganan yang terjangkau Disney tolong beri solusi, jikalau tidak bisa mungkin saya bisa mengakhiri masa berlangganan saya",2,2022-12-22 10:06:03,"Untuk Disney, Mengapa aplikasi eror dan bahkan tidak ada solusi Saya begitu mengandalkan disney untuk setiap tontonan menarik, aplikasi mudah dipahami dan biaya berlangganan yang terjangkau Disney tolong beri solusi, jikalau tidak bisa mungkin saya bisa mengakhiri masa berlangganan saya"
Sudah lancar lagi,4,2022-12-22 08:37:57,Sudah lancar lagi
Kok eror ya kak? Dari kemarin tidak bisa untuk menonton. Padahal habis masa langganannya masih januari 2023. Ada apa ya kak?,3,2022-12-22 08:11:50,Kok eror ya kak? Dari kemarin tidak bisa untuk menonton. Padahal habis masa langganannya masih januari 2023. Ada apa ya kak?
Nice,5,2022-12-22 08:06:01,Bagus
dh berlangganan malah black screen,1,2022-12-22 07:19:33,dh berlangganan malah black screen
Baguss,5,2022-12-22 05:39:27,Baguss
iniiiiiii kenapaaaa gaaaaa bisaaaaa diiiiii playyyyyy yaaa loadingggggg terusssss padahallll sinyaaaall bagussss!!!!!!!!!!!!!! kontollllllllll percuuumaaaa guaaaaaaa bayaarrrrrrr ngentottttttt!!!!!!!!!!!!!!,1,2022-12-22 03:53:32,iniiiiiii kenapaaaa gaaaaa bisaaaaa diiiiii playyyyyy yaaa loadingggggg terusssss padahallll sinyaaaall bagussss!!!!!!!!!!!!!! kontollllllllll percuuumaaaa guaaaaaaa bayaarrrrrrr ngentottttttt!!!!!!!!!!!!!!
"Film nya itu2 aja film lama, rugi min udah bayar filmnya itu doank",1,2022-12-22 03:42:36,"Film nya itu2 aja film lama, rugi min udah bayar filmnya itu doank"
"Streamingnya bagus, biaya lebih terjangkau, daftar di perangkat manapun bisa, sekali pembayaran bisa terhubung ke semua perangkat tnpa ad paket pilihan,cukup hanya log in saja, kurangnya pilihan utk profil blum ad misal satu apk buat beberapa profil untuk anak n dewasa jadi bisa dipisah kayak netflix n untuk dewasa bisa dikunci diberi password tapi selebihnya bagus aj, oya disney Indonesia utk film yang mengarah ke lgbt lebih baik dihapus saja atau tidak usah ditayangkan..",5,2022-12-22 03:00:15,"Streamingnya bagus, biaya lebih terjangkau, daftar di perangkat manapun bisa, sekali pembayaran bisa terhubung ke semua perangkat tnpa ad paket pilihan,cukup hanya log in saja, kurangnya pilihan utk profil blum ad misal satu apk buat beberapa profil untuk anak n dewasa jadi bisa dipisah kayak netflix n untuk dewasa bisa dikunci diberi password tapi selebihnya bagus aj, oya disney Indonesia utk film yang mengarah ke lgbt lebih baik dihapus saja atau tidak usah ditayangkan.."
"Untuk saat ini, Disney lebih baik dari pada aplikasi streaming lainnya dan jarang terkendala",5,2022-12-22 01:52:18,"Untuk saat ini, Disney lebih baik dari pada aplikasi streaming lainnya dan jarang terkendala"
patah patah kayak 15fps,1,2022-12-22 01:17:53,patah patah kayak 15fps
Empettttttt taeeeee,1,2022-12-21 20:09:01,Empetttttt taeeeee
"Saya sudah berlangganan dengan Telkomsel, tetapi tetap tidak dapat mengakses aplikasi dan menyuruh untuk berlangganan, saya sudah mengirim email tetapi tidak di respon",4,2022-12-21 16:20:14,"Saya sudah berlangganan dengan Telkomsel, tetapi tetap tidak dapat mengakses aplikasi dan menyuruh untuk berlangganan, saya sudah mengirim email tetapi tidak di respon"
Sering gak bisa di putar filmnya... Hadeh parah polll,2,2022-12-21 14:34:53,Sering gak bisa di putar filmnya... Hadeh parah polll
Gak bisa di buka!! Perbaiki dengan benar,1,2022-12-21 14:14:08,Gak bisa di buka!! Perbaiki dengan benar
"Ada indikasi LGBT nya , saat antar anak ayam ke rumahnya , masa bapak n bapak , D serial TOTS season 02 eps 15",1,2022-12-21 12:16:50,"Ada indikasi LGBT nya , saat antar anak ayam ke rumahnya , masa bapak n bapak , D serial TOTS season 02 eps 15"
Mau daftar aja susah aplikasi apa ini,1,2022-12-21 11:54:14,Mau daftar aja susah aplikasi apa ini
Ok...,5,2022-12-21 11:51:53,Oke...
"Sudah Langganan tetapi saat aplikasi saya hapus dan ingin login kembali tidak bisa, karena otp tidak kunjung saya terima",1,2022-12-21 11:37:43,"Sudah Langganan tetapi saat aplikasi saya hapus dan ingin login kembali tidak bisa, karena otp tidak kunjung saya terima"
"Filmya bagus, harganya lebih murah daripada sebelah, Beli Paket yg 1th, sebulan make lancar, giliran bulan ke dua pas di buka aplikasinya tau2 ada notif ""Anda menggunakan VPN"" Lah kocak, padahal punya VPN juga enggak,apalagi make VPN, sampe sekarang nggak bisa dibuka, gajelas banget.",1,2022-12-21 11:08:34,"Filmya bagus, harganya lebih murah daripada sebelah, Beli Paket yg 1th, sebulan make lancar, giliran bulan ke dua pas di buka aplikasinya tau2 ada notif ""Anda menggunakan VPN"" Lah kocak, padahal punya VPN juga enggak,apalagi make VPN, sampe sekarang nggak bisa dibuka, gajelas banget."
Pakai Disney sudah 2 tahun tapi ini ada apa malah suru bayar lgi. Kirain cuma sekali bayarnya,1,2022-12-21 08:50:32,Pakai Disney sudah 2 tahun tapi ini ada apa malah suru bayar lgi. Kirain cuma sekali bayarnya
"Error pl 1001 gak bisa muter film, padahal udah berlangganan, sia2 uang gue",1,2022-12-21 06:52:23,"Error pl 1001 tidak bisa memutar filmnya, padahal sudah berlangganan uang saya terbuang percuma"
"Sejak update , video tidak bisa diputar sama sekali di S6 tab , di hp bisa putar , sudah infokan semua hal yg diminta cs disney bernama putri namun tidak ada balasan atau solusi . Biasanya nonton lancar di tab S6",2,2022-12-21 06:21:31,"Sejak update , video tidak bisa diputar sama sekali di S6 tab , di hp bisa putar , sudah infokan semua hal yg diminta cs disney bernama putri namun tidak ada balasan atau solusi . Biasanya nonton lancar di tab S6"
"Video qualitynya gak berfungsi, udah atur ke kualitas tinggi tetep burem banget",2,2022-12-21 03:11:00,"Video qualitynya gak berfungsi, udah atur ke kualitas tinggi tetep burem banget"
Movie action,5,2022-12-21 02:02:45,Aksi film
amphibia 4 episode lagi lama banget updatenya padahal udah tamat,5,2022-12-21 00:42:03,amphibia 4 episode lagi lama banget updatenya padahal udah tamat
"Cara Telkomsel meraih keuntungan yaa dengan nipu. Udah beli kuota multimedia tapi tetap gabisa di pake, yg kepake malah kuota utama. Setelah kuota utama habis udah gitu aja gabisa nonton lagi, terus kuota multimedia nya buat apa? 🙂🙂",1,2022-12-20 22:51:13,"Cara Telkomsel meraih keuntungan yaa dengan nipu. Udah beli kuota multimedia tapi tetap gabisa di pake, yg kepake malah kuota utama. Setelah kuota utama habis udah gitu aja gabisa nonton lagi, terus kuota multimedia nya buat apa? 🙂🙂"
