text,rating,detected_language
Pleaseee for disney hotstar can you make a feature for share to instagram story? Like netflix? is sooo gooddd to share a movie/series on our instagram story but there is a sugn like play on disney plus hotstar! Sorry for my english but i hope you understand me!!😡,3,english
Bagus” film nya tp kurang lengkap :’(,5,indonesian
"Hotstar? more like Hotscam, cant even access the damn thing cos it keeps cancelling itself out when i try to log in no otp no ones calling for giving me the code",1,english
"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit",1,unclear
So I'm succeed in signing up disney+ indonesia in sept 4th!🎉tho little something's bothering me that is no casting feature from iphone to chromecast yet,3,english
gw kira gratis,1,unclear
"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak",1,indonesian
Aplikasi ini belum tersedia di Apple tv,4,indonesian
"I love this app, because it has a lot of content and has a great UI.",5,english
please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature,5,unclear
"Semoga bisa langganan terus, film nya bikin nagih. 😊",5,indonesian
"Tidak bisa verify dana, sudah beberapa jam nunggu gaada kode verify yang terkirim, padahal nomornya sudah benar, saya jadi tidak bisa berlangganan via dana, tolong segera di fiks, agar proses pembayaran berlangganan berjalan lancar.",2,indonesian
Kok ga update lagi… mana eps ya baru?,2,unclear
Super jelek bgt di mi tv terjadi kesalahan mulu disney nya perbaikin lg dong!,1,indonesian
"Kenapa bnyak film g bisa d tonton y, keterangannya kesalahan DRM (PL 1206)",2,indonesian
"No option available to cast the movies to chromecast, why ?",4,english
Cant log in because very hard to get OTP,1,unclear
Tambahkan seoson 2 serial RadhaKrishna plizz🙏🏻,3,unclear
Kode otp tidak dikirimkan sangat lama,1,indonesian
"Overall sudah cukup stabil, fitur download berjalan lancar hanya saja kirim SMS OTP tidak terkirim-kirim, yang berjalan lancar ketika request OTP via call",5,indonesian
"After playing properly in my Xiaomi TV for weeks, the app suddenly asked me to log out & log in again. Funnily, when it asked me to log in from the website again, there is no option for my region. It was only for India...
When I asked the tech support, they kept asking  me if I use VPN, blah blah blah.... For goodness sake, the problem is in your website login, not on my device!!! 😡😡😡😡

Seriously, learn from Netflix’s UI/UX!",2,english
Please enable Airplay option and provide app for AppleTV. Also we need 4K / HDR contents. We’re stuck watching on small screens,5,english
Do I really need to confirm if I’m 20+ every time? It’s not a really great experience when watching a series,5,english
can we pleaseee have miraculous : tales of ladybug?? they have it on disney+ US..,5,english
Im subscribe 1 year. But now I’m can’t login… what happens.. please help,5,english
Nanti kalo udah bisa chrome cast ke tv baru dikasih bintang 5,3,indonesian
I wanna free not buy,1,english
I’ve subscribed to disney+ when I was in my home country and i am asked to subscribe again when i am at another country. I would prefer another app for watching movie just because of this policy then.,3,english
"Just wasted Rp. 199,000,- just to purchase a yearly subscription service without any chance to be able to watch it on my TV by using Apple Digital AV Adapter to HDMI. Watching on iPhone or iPad is tiring. What is the meaning of purchasing Disney+ service if it’s can’t be enjoyed by the whole family members on TV screen? It doesn’t make sense! I want my money back.",1,english
Banyak series dan movie yang bagus ditonton,5,indonesian
"it’s pathetic Disney has million good movies but can only watch in mobile phone and can’t be cast to smart TV 

you’re not supposed to limit the application like that. 
So dissapointed ! i already subscribed for 1 year.

your rate will be the best after you upgrade the capability your apps to be able to cast to smart TV",1,english
"Hello disney+hotstar, please read my review, i m so glad if you put the series The replacements on disney channel thankyou",5,english
Kebanyakan iklan bikin kesel,1,unclear
"Hello, i think it’s very inappropriate for disney+ to show indonesian and other horrific movies. If you choose to show scary movies, simply haunted mansion, halloween town movies, nightmare before Christmas, corpse bride, hocus pocus and other disney related halloween movies and shows. Please rethink and review the horror movies in disney+ hotstar. Also, there are a lot of disney movies and shows that are not in disney+ hotstar",2,english
Belum bs connect pakai chromecast,3,unclear
"Buat log in pakai no hp tidak dapat kode otp, susah banget sampai harus pakai 3 no hp tetap tidak dapat kode otp",1,indonesian
Unlimited bugs! Streams really slow while I don’t have any issue with other similar. Downloading fails 9 out of 10. Interface really not user friendly. Often fails when i try to stream. Really poor app!!!,1,english
Kode otp ga dikirim2 woy 😌,1,unclear
"Please fix this, iPadOs 13. Thanks:)",5,unclear
Otp aja gk masuk2 sia2 langganan! Anjing!,1,indonesian
kualitasny jelek bgt pdhl udh diganti  ama yg tinggi tp ttp jelek gmn sih,1,unclear
Lag. My connection 100Mbps,1,unclear
Ntn LEGEND OF HAOLAN kirain lengkap ternyata cmn Stgh nya aja dari jumlah 60 lebih episode cmn ada 30 pedahal film sudah lama,1,indonesian
"Easy to use and the UI awesome. But need improvement in screen mirroring, both on iphone or androids.",4,english
ketika anda dalam keadaan dan situasi apapun mungkin butuh sesuatu utk menghibur atau hanya utk mengisi kekosongan waktu anda tidak perlu melamun dan bingung gunakan jempol cukup tekan Disney pilih mana yg sesuai dgn hati anda akan terhibur setiap waktu,5,indonesian
"Sering log out out of nowhere, begitu login susah setengah mati!!! Mau login lagi nunggu kode verifikasinya lama bet lama. Hadehhh. Dulu sms susah bgt lah terus dapat tuh WA notifnya ga ada keren2nya banget dah, beli WA business kek yg pake badge, dapet WA notifikasi verifikasi ga ada foto, ga ada badge pula, YONI International Pte Ltd siape bos??? Kasih nama kek Disney Plus, kaga modal banget dah asli.",2,indonesian
"Keren ini, terobosan baru, ada dubbing bahasa indonesia, jd lebih enak ditonton, joss",5,indonesian
"The collection of things to watch are growing, but the app still has issues, lots of complaints that the app doesnt allow you to share the screen to bigger devices, some of us still use not so smart tv and watch it the old ways with hdmi port to our beloved phone or ipad, and sadly the app doesnt allow that. And then there is the problem of keep logging out from my account, and when trying to log in the verification code just never arrived, please help us fix these, thanks",3,english
Ini ga bisa di chromecasting?,2,indonesian
Daftar pakai akun nomor hp tapi tidak ditemukan akunnya aneh banget!,2,indonesian
Seriously 2020 and I cant cast it to my TV????,4,english
"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp 🔥",5,indonesian
"Saran min, tambahkan fitur parental code untuk konten dengan kategori 17+ karena “mode anak” saja tidak cukup. Terlalu riskan bagi saya orang tua yang punya anak dibawah umur. Terima kasih",5,indonesian
Subscribed for one year & being logged out everytime i watch. Very bad service,1,unclear
It’s 2020! Even the cheapest streaming apps allow you to cast! Even the illegal streaming sites allow you to cast! C’mon!!!,3,english
"Setiap mau download, unduhannya tiba2 tercancel padahal jaringan wifi baik2 aja, rugi berlangganan",1,unclear
So sad,2,unclear
"This is the 2nd year i subsribe into this platform
Altough im not very impressed i still buy because i love disney film and marvel
And still compare to other platform this app is not so enjoyable

Honestly if you can give us filter to access every movie starred by some actor or else it will be so much better

And i can understand that being in different region means our access to some movie is limited, but some big show like marvel’s daredevil is released in usa but not in our country? 

Do you still prefer us to chose another platform? Pfft",2,english
"Berkali-kali mencoba login, tp gk dapet2 OTP -_-",1,unclear
banyakin film comedi dongg,4,unclear
Tidak bisa login dan tidak mendapatkan kode otp,1,indonesian
"Semoga cepat ada di apple tv, atau kalo ga ya minimal bisa di screen mirroring lah. Uda ga jaman soalnya nyambungin laptop ke TV..",2,indonesian
I can’t believe no Apple TV support. Please make it happen!,4,unclear
kasi history dong biar ada bekas kita nonton mau di cari lagi kan gampang,5,indonesian
Download it just to watch shin ye eun<3,5,unclear
"this app is so good! i really love it,but can you please add miraculous ladybug please?? i really appreciate if you could🖤, thank you!!🖤🖤",5,english
"Masih belum support di smarttv, kalau dah support baru subscribe premium dan bintang 5... secepatnya please 🙏🏻",3,indonesian
Berhenti langganan dan masih ada waktu sampe 16 september tapi belum nyampe 16 september udh gabisa nonton! terus sia sia dong gw bayar yg sebulan ini hffttt-___-,2,indonesian
Already purchased but still can’t watch movies,1,english
Please give option icon to lock screen when play movie,4,english
Didn't get fckn otp,1,unclear
Enak dan mudah untuk mencari flim yang trending … dan seru,5,indonesian
it isn’t available on my smart tv so i have to use my phone everytimeee. please make it available on smart tvs!,5,english
Downloaded video can't be played until the end of the video🥲,2,english
"Ga ada yg malaysiaa
Mau nonton Melur untuk Firdaus 😭😭😭",5,indonesian
Tolong sediakan juga subtitle Englishnya 😭,4,indonesian
"Aplikasi konten hiburan film/series kesukaan aku. Terima kasih telah mengumpulkan semua koleksi Disney, Marvel, Star Wars universe, dan lainnya",5,indonesian
Where's Taylor Swift performance? Isn't available in Indonesia?☹️ come on dude,1,unclear
"nice , topzzz",5,unclear
"Finally they listened, new version with chromecast enabled!",5,unclear
"Menjijikkan, nonton 1 film selalu buffering….",1,unclear
There is no option to cast to smart tv please fix this,5,english
"No Mulan, No other great movies/serial from Disney. Just disappointed as one of the first subscribers. Instagram admins don’t reply to all comments/dms. They just choose the questions which they could answer or just common questions",1,english
"This app is a solid 9.5/10 the price is cheap for an annual subscription, and there are a lot ot diffrent movies to watch.",5,english
"Aplikasi ribet mau sambungin ke tv , update dong supaya pakek code barcode jadi gampang masukin nya",2,indonesian
"My connection wasn’t that bad but when i play a film its always say Error for nothing, please disney fix your fckng Srver!",1,english
I get to watch Disney movies that haven’t been released in the cinema because of the pandemic,5,english
"ga bisa ke apple tv, ga bisa 4k...",1,indonesian
Cant receive any sms from disney+ for the verification code. I tried many times. Help pls?,3,english
Please fix OTP issue!!,4,unclear
"Hotstar needs to get their stuff together. You can’t play anything while connected TV or monitor.  Netflix, HBO, even other local streaming works just fine. Why the uncessary security feature? It’s the same as disabling the audio when you use an earphone instead of the built-in speaker. Ridiculous! Plus you can easily circumvent this if logged in and playing via browser. This “feature” needs to be removed immediately. Also, being connected to VPN or Private DNS automatically logs you out and deletes all your previously downloaded shows and movies. This is totally unecessary as well. If you want people not to use VPN or Private DNS while using the app you can simply warn them. Why forced logged out and removal of files?",2,english
LAMA BGT KIRIM KODE VERIFIKASI !!! Makin kesini makin jelek!,1,unclear
"I started subscribing to Disney+ a month ago because I was interested in some of their content. I downloaded the app, subscribed through the application, and I have been surfing through their movies and TV shows ever since. Coming from using Netflix, I found some pros and cons pretty early on. 

Pros:
- Amazing, very wide, and world renowned content
- Much more affordable than their competition
- The application is quite intuitive
- Video resolution is top notch
- Love the way they group movies and tv shows on the bottom navigation bar
- Love how I can watch movies in portrait so I can scroll through other information beneath

Cons:
- No dark mode
- Can’t set my age so I wouldn’t have to press continue on every episode for series that has mature content
- After I leave the app mid-movie, it doesn’t take much for it to reload the whole application, so I lose my movie progress
- Does not pick up where I left off, especially if I use multiple devices (i.e. iPhone and MacBook) so I am forced to scroll through the timeline to see where I last watched it
- If I leave portrait orientation lock to OFF, every time I watch in landscape mode and I play the next episode of a series that has mature content, the modal for me to continue glitches and I can not press on anything to continue
- No PIP in iPhone

So, overall Disney+ is great but the app is horrible. Little ways where it can help improve and smoothens customer journey were left out. At the end of the day, the cons outweighed the pros for me. So, after watching my favorite TV shows, I’m out unless the app gets fixed.",3,english
Would you mind to make feature ‘share to media social’ like playlist?,4,english
"Tolong perbaiki lg aplikasinya, saya udah bayar utk berlangganan namun ketika klik play movienya malah error ( masalah pada saat menyambungkan langganan ).
Ini aplikasi bikin emosi aja dah bayar tapi ga bisa diplay",1,indonesian
Omg seneng bgt disney+ muncul di Indonesia!,5,indonesian
"Ok now i can cast it on my chronecast, 5 stars for you cheers",5,english
"Ngedownload lama parah.. padahal jaringan bagus penyimpanan kosong.. terus tiap nge download gabisa dijeda, sekalinya dijeda download nya nge refresh ke 0% lagi !.",1,indonesian
GBS PAKE WIFI COK NI PAKET DATA TRS WE LIATNYA😭,4,unclear
I can not see the movie with chromecast gen3 fw 1:49 always loading… please fix it,2,english
"Bagus..., bagus banget👍👍👍👍👍",5,unclear
something went wrong. check again next time,3,unclear
Good job,5,unclear
Saya udah berlangganan pake DANA tapi kenapa film tetel gabisa dibuka?,1,indonesian
Why i can’t download any single video on that’s App,1,english
"Please add dark mode, thank you.",5,unclear
Can you add Peaky Blinders? I wanted to watch it but i’m not at home and I can’t use my data to watch netflix so please?,1,english
Why so slow if we want to download,3,english
"Tolong yg adegan adegan 18+nya jangan di percepat cepat dong, ga seru jadinya",3,indonesian
Ga da fitur cast ke led tv... kalah bersaing dengan layanan streaming yg lain2...,1,indonesian
Pembayaran tak masuk ke akun. Silahkan cek 8902276800215797,1,indonesian
"Udah paling bener download disney+ yang asli daripada beli disney H ,semua di seleksi film disney yang masuk ke indo ,udah gt ga ada 4k buat appleTV , udeh netflix aja paling bener,kalo udah berbau indonesia pasti dipolitikin nih , tau aje cuan",1,indonesian
Kenapa kode vertifikasi gak masuk” padahal sinyal bagus,1,unclear
"Good apps, but i prefer indonesia subtitle rather than indonesian dub. If you add subtitle choice, i will change my review to 5 stars",3,english
Where the f is dark mode setting?,1,english
i can’t watch the videos offline even tho i already download the episodes. so what’s the point of download in the first place?,1,english
"Aplikasi yang sering crash sewaktu menonton dan film yang disajikan pun kebanyakan film lawas. Kalaupun ada film terbaru, harus membayar lagi untuk bisa nonton.",1,indonesian
Disney Indonesia succkkkkkss! I paid and cannot watching anything!!!,1,english
"Low price for subscription is nice, but it doesn’t offset the fact that the service lacks crucial feature like the ability to cast to TV using Google Cast / AirPlay, ability to login with email address. The content is actually different with the US. There is no new Mulan movie.",1,english
Develop appsnya supaya bisa connect ke TV atau chromecast ya,3,indonesian
Woyyyy lah kenapa episode The Owl House ga lengkapppp,4,english
"The titles here are refreshing, either the new one or the old one. the colour inside the app is refreshing the eye too.",5,english
Very difficult to fast forward on apple tv.,2,unclear
I cannot login using my apple ID although I already subscribe for 1 year. It only login using phone number.,1,unclear
Ga bisa casting dari iPhone & iPad. Come on. Ini 2020 lho 😂,5,indonesian
"Cuma bisa di iphone ga ada di apple tv.. kualitas ga ada yg 4k ato hdr.. ga bisa mirroring.. series ga lengkap.. untung cuma langganan yg promo telkomsel, abis promo nya ga bakal langganan lagi.. pantes murah.. ternyata murahan..",1,indonesian
This app has Indonesia dubbing for almost all movies and TV series and I love it.,5,english
"Can’t continue payment using gopay, instead opening gojek app, its open the browser and make the payment flow broken",3,english
Hello Everything Good News Disney+ Your With Movie Time We Thank You For Business News,5,unclear
"It’s not a bad application but it can be better, please give us a profile, so everyone can get one & things don’t get messy in the app (just like netflix it can be up to 4/5 profiles in one account) and please improve the resolution sometimes it’s really bad. Thank you.",3,english
Please add dark mode feature please,5,unclear
"Mengecewakan! 

Walaupun uda di update, saat menggunakan kabel HDMI masih bermasalah ga bisa di putar di TV! 

Selalu muncul keterangan “screen recording detected...” 

Sangat mengganggu!",1,indonesian
Saya masi belum menemukan cara install app ini di appletv 4k. Sedangkan untuk di ipad/iphone kualitas sangat baik,4,indonesian
Kan udah bayar di Telkomsel kok bayar lagi ?,5,indonesian
Please add english subs to every movies and series... sometimes when you are chewing your snacks.. you cant even hear the movie 😤,3,english
"UDH CAPE2 DOWNLOAD MASIH AJA BUFFERING, UDH GITU SUBTITLE GAMAU NONGOL. GAJELASSSS ASLII",1,indonesian
"Heran lah pake streaming lain lancar-lancar aja nontonnya, giliran streaming ini kalo udah setengah episode buffering pasti. Mesti restart app kalo mau bufferingnya hilang",3,indonesian
Sudah mahal mahal berlangganan kok masuknya ke nomor lain tolong diperbaikin atau balikin saldo nya,1,indonesian
Not compatible with Chromecast,2,english
Kode otp nya lama bgt aswww selebihnya good aja,4,indonesian
Lov this app,5,english
Berkali kali selalu bermasalah dengan OTP tak diterima,2,indonesian
Please make it available for mirroring to smart TV,3,unclear
Mau login aja nunggu kode otp nggak masuk-masuk,5,indonesian
Terima kasih sudah mewujudkan disney+ di Indonesia,5,indonesian
Baru liat iklan udh seneng tau nya bayar 🙂👍🏻,1,indonesian
"A lot of bug in the app, ask if im 21+ every single episode, making it inconvenient to bingewatch. Screen keep rotating it makes no sense. Probably will unsubscribe, Netflix soooooo much better",1,english
"Well I got what I kinda got what I wanted in unlimited frozen, lion kings and disney kid shows. But.... some episodes and seasons are jumbled up for example futurama. It should be a simple fix... why is it taking so long??",3,english
Please send me the 4-digit code! I haven’t successfully registered because the code fails to be sent to my number!,1,english
"Please make Chromecast be available as soon as possible.
Add more movies/series. I subscribed to watch all old series like Merry Melodies, old cartoons of Mickey, Donald, Goofy, Pluto, Duck Tales, Darkwing Duck, Talespin, Gummy Bears, etc.",4,unclear
"I’m downloading this app from indonesian app store.
But its payment and region got redirected to Indian Disney+, all the movie are in Indian languages which I don’t even understand any of it.

Are you kidding? Please fix this asap or make an option to change regions manually!",1,english
"The movie selection is decent but the tv series, not so much

Also lacked features, mainly Apple TV support and Chromecast support",3,english
Unstable video quality and lot of buffering even in good internet connection. Netflix better,1,english
Whenever I input the 4 digit code to the app it keeps saying it is incorrect!! Frustrating!,1,english
Tolong aplikasinya di perbaiki,3,indonesian
Silau cuy. Please lah,3,unclear
Subscribed but cannot login as I never get the OTP.,1,english
terbaik,5,unclear
"Can not air play to apple tv
And there is no apple tv app",1,english
Tidak berkualitas dan sangat mengecewakan. Gak lagi lagi gue berlangganan kalau nanti dah abis,1,indonesian
"Saya pengguna apple tv, tolong dibuatkan jg di TvOS.. 🙏🏻",4,indonesian
No English subtitles. Disappointing...,2,unclear
"Min mau kasih masukan, Untuk update aplikasi selanjutnya kalau bisa pilihan ‘Go to Downloads’ biar keluar min pilihannya, soalnya kalau kita lagi gak online gak bisa nonton film yang sudah kita download min",4,indonesian
Bisa menikmati film-film keren dalam kualitas gambar dan suara yg dasyat...terima kasih Disney +hotstar,5,indonesian
"honestly tho it would be much better if they added more seasons to the series especially the old ones. like wizards of waverly place, i was expecting it to have all seasons but it’s just one on this app. It’s alsoo worth it to watch soo many movies and series for 39k a month 😍",5,english
Banyakin drama korea,4,unclear
This new update have a bug. I can’t cast movie to Chromecast anymore. Please fix,1,english
"whenever i logged in my disney to a device, it always asking for a 4 digit code that wont appear in the message",1,english
"Sudah ios terbaru, app terbaru tetep ga bisa rugi saya bintang satu dulu kalau dah bisa baru bintang 5",1,indonesian
Tolong direspon email saya perihal request pembatalan berlanganan. Sampai saat ini tidak ada feedback,1,indonesian
"Andaikan Aplikasi bisa menyesuaikan tampilan pada Tablet, sepertinya akan semakin menyenangkan. Repot muter-mutwr tablet yang sekarang. Semoga segera update",4,indonesian
"Is there a casting button in this version? The website says we can cast to tv, but can’t find one.",3,english
Harganya bersahabat banget kontennya juga berkualitas best lah disney+,5,indonesian
Tidak ada sms datang,1,indonesian
"Apk nya bagus banget,ada fitur tonton gratis nya,banyak serial,dll

Thanks Disney😘",5,indonesian
OTP code took forever to arrive,2,unclear
Blm bisa airplay/ mirroring ke Apple TV..,2,indonesian
I didnt get code verification,1,unclear
"very awful, could not download. pls repair",1,english
Suka banget 😍😍😍,5,unclear
Please add to instagram feature,5,unclear
"Can’t be connected to tv using adapter, detected as screen recording. Only want to see it on bigger screen, why can’t be connected.....why oh why...???",3,english
"Everytime i downloaded something and goes offline it won’t show, they don’t even have us go to the downloaded section when we’re offline 👎👎👎",2,english
"pla
ease fix this issue. i'm using ip11",2,english
This app stuck at logo an Nothing happen(freeze)... thanks and fit it!!!,1,english
"Bad conectivity, bad when downloading film always error or stuck when play downloaded film. Far from Disney quality.",1,english
Tolong tambahkan pilihan subtitle pada animation series nya dan juga tolong tambahkan untuk pilihan dark mode 😢🙏🏻,3,indonesian
"I’d like to watch the cartoon movies with my 3 little nephews and 4 little nieces on larger screen, projector. It’s connected succesfully with the projector but when playing the movies it suddenly stops saying recording cable detected and will not run until it’s unplugged, oh come on, we just want to watch cartoons together, do not want to record anything… you know, it’s very uncomfortable watching with kids using phone.",4,english
I can’t login through apps. Always incorrect code even the number is same. Please fix this.,1,english
"This app is quite good,but some bugs need to be fixed,especially when you wanna change the episodes in some movie ,it feels laggy and sometime crashed,9/10",4,english
"Pas di luar negeri, langsung gak bisa pakai. Mantap 👎👎👎👎👎",1,indonesian
Keren,5,unclear
😭whoever works on the login / otp menu needs to have 1 on 1 with the management - its so bad i havent received my otp for a week 😭😭😭,2,english
"The apps have so much potential.. The movies are top notch and most of top box office are available here.. 

Btw when is Mulan gonna shows up at Indonesian viewer? I already subs for annually.",5,english
"Kode verivikasi yg dimasukkan salah terus, pdhl udh bener:”",4,unclear
wkwk tbtb ke logout sendiri trs udh bayar yg setahun pas login gabisa ? bye bgt either ada yg hack atau gmn tapi rugi subs 1 tahun,1,indonesian
"Its a great app with lots of movie selections, please make an option for tv casting available. Hopefully it will be added in the next update.",4,english
Good app but please add a feature like if you close the app there a small screen so you can watch it while doing something on your device just like Netflix and please add dog with a blog,3,english
Tolong buat versi mac juga,4,indonesian
"Udh bayar via telkomsel *363*999#,udh kepotong pulsa 25k,tapi kok paketnya g aktif?",1,unclear
Terimakasih,5,unclear
"Duh, untung saya baca review mbasis n masbri disini.. hampir saya subs yg 1 thn...",1,indonesian
Ejen ali tidak ada seson sambung,2,indonesian
"Its been years and this app still have no essential features such as dark mode features, picture in picture (play in background).",1,english
Akhirnya keluar di Apple TV. Pulang kerja langsung nonton mandalorian deh. Oiya bikin fitur share ke Instagram story dong kaya netflix,5,indonesian
I already download it but I can’t played it in airplane mode!,1,english
"You guys need to be more serious in dealing with your customer
- Slow response on customer care email
- robotic response without ever pay attention to previous email

Very very bad experience. Consider yourself losing a customer. Canceling my subscription",1,unclear
"The contents are bingeworthy, congrats on that. But technically the experience is not seamless - i.e jumping into automatic next episodes before the episode ends, that is really annoying because it jumps at crucial moments. Please add English subtitle on contents that are originally in English. Lastly, why can’t I watch Disney content when I’m traveling abroad?? I’m paying to watch to content and I can’t even watch what I have downloaded?",4,english
Mantap!! Bukan hanya film disney doang tapi juga ada film lokal. Sempet ada issue di perolehan kuota tapi langsung solved. Sukses selalu 👍🏻,5,indonesian
Gk bisa berhenti berlangganan,1,indonesian
we need dark mode,5,unclear
please add some features like double tap to fast forward like on ntflx/utube,4,unclear
Senang banget bisa nonton film dan serial Disney secara resmi! Kualitasnya bagus!,5,indonesian
"Clear visual, smooth performance, and I can continue to watch my favorite serial again in here legally - Blackish 🙂",5,english
"Untuk menonton di HP sangat bagus. Tidak kalah dari Netflix atau YouTube. Namun sayangnya aplikasi ini tidak mendukung cast ke Google Chromecast. Padahal aplikasi sejenis lainnya mendukung, seperti Netflix dan YouTube. Tolong ditambahkan fitur agar dapat cast ke Google Chromecast.",2,indonesian
"Saat hendak login menerima kode verifikasi melalui sms. Tapi setelah kode diinput dan klik “continue” malah tidak bisa. 
Responnya kode verifikasi incorect",5,indonesian
Tolong disediakan untuk Apple TV.,5,indonesian
Error and lags,4,english
"Hi !
I love the app, but unfortunately the app is for iPhone (or iPad) only.
would you make it to be available on apple TV too?
Please.",4,english
gabisa fitur pip nya di ipad maupun di iphone😭😭,4,indonesian
Tidak bisa casting melalui chromecast. sms OTP tidak diterima,2,indonesian
"There is no subtitle option on my iphone 7 plus, and still no dark mode updates. Fix this and i will rewrite my review, thanks",1,english
lack Match content framerate and dynamic range on Apple TV. please add them on future release.,3,english
No chromecast support,3,unclear
"Parah banget mau nyambungin ke tv susah, dibilang record app, subtitle jadi kacau.",1,indonesian
"kenapa koneksinya suka error? padahal seharusnya lancar lancar aja, dan juga udah coba download filmnya tetep buffering error gatau kenapa padahal udah di download",1,indonesian
The OTP CODE really takes forever dude c’mon….,4,english
Kenapa jadi berbayar semua. Sampai film yang pernah di tonton juga berbayar. Sangat mengecewakan 🤬🤬🤬😡😡😡,1,indonesian
setiap mau download naik 1% aja bisa 4 jam padahal jaringan bagus pake wifi sampe pake internet sendiri bener bener sampe habis 4 gb satu video gara gara gagal terus setiap mau download,2,indonesian
Saya sudah download ketika mau login masukan no hp kode verifikasi tidak terkirim ke hp saya padahal jaringan sdh 5G 👎unistall apk 👎,1,indonesian
"movies and series cant be mirrored from iphone to apple tv, but trailers can be mirrored just fine. Please fix this bug.",2,english
I can't seem to get my OPT password upon registering.,1,unclear
"No airplay, screen mirroring or smart tv app??
Watching on phone or ipad is tiring! Please make it available for screen mirroring at least. Dont make our subscription such a waste",5,english
Really enjoy all the movies:),5,english
"No English subtitle available, but shelling out soulless local dubs instead. The hell are they thinking?",1,english
Everything is Good but what happen with The apps icon?,5,english
"Luar biasa film-film nya emang yg kita suka semuanya, bukan film-film ga jelas, top dahhh 👍🏼👍🏼👍🏼👍🏼👍🏼",5,indonesian
"Please fix, I can’t choose the time video play, it’s like bug and it makes the quality of the platform go to low",2,english
please add english subtitles,3,unclear
"Ga bisa download episode belakangan ini, terutama Grey’s Anatomy. Kenapa ya?",3,indonesian
Tlg buatin aplikasinya untuk LG smart tv. Biar ga ribet.,2,indonesian
Should’ve add some options like removing movies that we hate.,5,english
"please stop redirect to specific movie when open app, who have this idea?? its make worst user experience smh. most annoying",3,english
"“Oops something went wrong, try again” been trying for hours and hours now. Geez ... if you’re not ready, don’t launch the app",1,english
"Ini kode OTP nya kok dikirim kaya nomer biasa gtuh ya ? Biasa nya kan kalo ngirim kode OTP app lainnya nomer perusaha an jadi masuk sms nya tuh nama perusahaan bukan nomer kaya nomer biasa, jadi nya ragu-ragu buat login",1,indonesian
Error saat mirroring ke tv,3,indonesian
gabisa download apa gimana ini,3,indonesian
"I have ever 7 times downloaded this application, but why was installing in India version not on Indonesia version?",1,english
Dibanyakin dong film disney dan fantasy nya cape nyari nyari film ga ada yg dapat,1,indonesian
